subject,trial,metric,phone,kinect
P04,T01,time,11.600192168674699,11.600000000000001
P04,T01,time_sit2stand,5.633426656626505,5.366666666666667
P04,T01,time_stand2sit,4.7000778614457825,4.966666666666667
P04,T01,time_sd,0.09092271753812523,0.12927146286443533
P04,T01,trunk_lean_max,201.0919052115683,200.51089134421375
P04,T01,trunk_lean_range_mean,19.81621673138739,16.87051224437313
P04,T01,right_knee_range_mean,66.46576130118424,69.20417783353898
P04,T01,left_knee_range_mean,54.85256757242581,70.34972060810462
P04,T01,right_hip_range_mean,59.54883277521138,59.98264232815144
P04,T01,left_hip_range_mean,52.714270064941694,66.49153335490709
P04,T01,alcazar_rel_power_Wkg,2.271907621596837,2.271945258620689
P04,T01,alcazar_power_W,167.21240094952717,167.2151710344827
P04,T02,time,12.333536123567516,12.166666666666666
P04,T02,time_sit2stand,6.00009865470852,5.766666666666666
P04,T02,time_stand2sit,4.933414449427006,5.133333333333333
P04,T02,time_sd,0.1349919311038848,0.3508719297850871
P04,T02,trunk_lean_max,198.53167857558446,197.8591118223783
P04,T02,trunk_lean_range_mean,20.094299334306022,16.012059397306253
P04,T02,right_knee_range_mean,71.38321983262571,70.54477265183584
P04,T02,left_knee_range_mean,73.83500559567396,70.17269707914501
P04,T02,right_hip_range_mean,58.29020499711255,61.74299513142216
P04,T02,left_hip_range_mean,64.94470719607459,63.12718855476319
P04,T02,alcazar_rel_power_Wkg,2.136821487038126,2.1661286301369858
P04,T02,alcazar_power_W,157.27006144600608,159.42706717808213
P04,T03,time,12.666871691114483,12.666666666666668
P04,T03,time_sit2stand,5.800093879615579,6.133333333333335
P04,T03,time_stand2sit,5.200084167931209,5.166666666666666
P04,T03,time_sd,0.23286042500488324,0.18012341448141736
P04,T03,trunk_lean_max,200.00797496985754,199.16947145526828
P04,T03,trunk_lean_range_mean,19.75891314583223,19.1350976148244
P04,T03,right_knee_range_mean,69.03668841609377,69.89303776149953
P04,T03,left_knee_range_mean,70.70060658569267,70.95121300663739
P04,T03,right_hip_range_mean,56.46867728045402,59.685078264864615
P04,T03,left_hip_range_mean,66.03170474724138,64.2227208071135
P04,T03,alcazar_rel_power_Wkg,2.08058987591128,2.080623552631578
P04,T03,alcazar_power_W,153.13141486707022,153.13389347368414
P04,T04,time,13.533561914224208,14.733333333333333
P04,T04,time_sit2stand,6.200104719324392,7.033333333333333
P04,T04,time_stand2sit,5.633428481536678,5.033333333333333
P04,T04,time_sd,0.2489129334895349,0.5364906543661523
P04,T04,trunk_lean_max,198.83692615207036,198.362366021319
P04,T04,trunk_lean_range_mean,20.214755060685462,22.63065444124297
P04,T04,right_knee_range_mean,67.52126562418714,70.42550943984
P04,T04,left_knee_range_mean,74.57067950573048,68.8522976465636
P04,T04,right_hip_range_mean,59.402072210861114,62.329647985823684
P04,T04,left_hip_range_mean,70.21462151264923,62.0781838058968
P04,T04,alcazar_rel_power_Wkg,1.947348759109787,1.7887713800904972
P04,T04,alcazar_power_W,143.32486867048033,131.65357357466058
P04,T05,time,13.30022063245205,12.8
P04,T05,time_sit2stand,6.000099533437013,5.466666666666667
P04,T05,time_stand2sit,5.566759011577674,5.966666666666667
P04,T05,time_sd,0.2284283453003502,0.2991840756308916
P04,T05,trunk_lean_max,201.66670084325293,201.71130449225868
P04,T05,trunk_lean_range_mean,20.917740608049183,20.16574264160723
P04,T05,right_knee_range_mean,67.49707584797757,69.00468645775932
P04,T05,left_knee_range_mean,71.75106241538738,65.91347550844078
P04,T05,right_hip_range_mean,57.37874477478503,60.41679734057268
P04,T05,left_hip_range_mean,65.51934808793024,59.315344887587955
P04,T05,alcazar_rel_power_Wkg,1.9815133694621443,2.0589503906249993
P04,T05,alcazar_power_W,145.83938399241381,151.53874874999994
