subject,trial,metric,phone,kinect
P02,T01,time,9.302778711484594,9.433333333333334
P02,T01,time_sit2stand,3.834478680361033,4.066666666666666
P02,T01,time_stand2sit,4.634717709305944,4.5
P02,T01,time_sd,0.3087812160771173,0.2872087897138402
P02,T01,trunk_lean_max,206.11757223762115,210.09049343494473
P02,T01,trunk_lean_range_mean,25.676092569912235,31.178974051112014
P02,T01,right_knee_range_mean,73.4009396103844,68.68014507806033
P02,T01,left_knee_range_mean,72.49428656463286,81.5195049115604
P02,T01,right_hip_range_mean,87.41397191668715,88.14157892342459
P02,T01,left_hip_range_mean,89.44588999805401,99.47243792983878
